0	120.638852	31.421364	4	0	38.427
1	120.6388529996	31.421365059	4	0	38.427
2	120.638854	31.4213661	4	0	38.427
3	120.6388549525	31.4213670579	4	0	38.427
4	120.6388559034	31.4213680085	4	0	38.707
5	120.6388568543	31.4213689591	4	0	39.005
6	120.6388578	31.4213699	4	0	39.190
7	120.6388588527	31.4213709117	4	0	39.500
8	120.6388599	31.4213719	4	0	39.787
9	120.6388609002	31.4213729124	4	0	40.087
10	120.6388619	31.4213739	4	0	40.446
11	120.6388629508	31.421374859	4	0	40.809
12	120.638864	31.4213758	4	0	41.162
13	120.638865025	31.4213767328	4	0	41.499
14	120.6388660485	31.4213776588	4	0	41.826
15	120.638867072	31.4213785848	4	0	42.159
16	120.6388681	31.4213795	4	0	42.500
17	120.6388691495	31.421380409	4	0	42.863
18	120.6388702	31.4213813	4	0	43.202
19	120.6388711045	31.4213820564	4	0	43.522
20	120.638872	31.4213828	4	0	43.839
21	120.6388730305	31.4213836326	4	0	44.167
22	120.6388740555	31.4213844595	4	0	44.490
23	120.6388750804	31.4213852864	4	0	44.812
24	120.6388761	31.4213861	4	0	45.128
25	120.6388771521	31.421386962	4	0	45.442
26	120.6388782	31.4213878	4	0	45.751
27	120.638879249	31.4213886099	4	0	46.050
28	120.6388803	31.4213894	4	0	46.343
29	120.6388813493	31.4213902082	4	0	46.626
30	120.6388824	31.421391	4	0	46.898
31	120.6388836999	31.4213919405	4	0	47.160
32	120.6388850004	31.4213928736	4	0	47.411
33	120.6388863	31.4213938	4	0	47.642
34	120.6388873018	31.4213945578	4	0	47.861
35	120.6388883	31.4213953	4	0	48.075
36	120.638889351	31.4213960584	4	0	48.282
37	120.6388904	31.4213968	4	0	48.482
38	120.6388914508	31.4213975079	4	0	48.671
39	120.6388925	31.4213982	4	0	48.849
40	120.6388938694	31.4213991422	4	0	49.012
41	120.6388952365	31.4214000765	4	0	49.164
42	120.6388966	31.421401	4	0	49.300
43	120.6388976499	31.4214017109	4	0	49.422
44	120.6388987	31.4214024	4	0	49.530
45	120.6388997005	31.4214031123	4	0	49.627
46	120.6389007	31.4214038	4	0	49.713
47	120.6389019698	31.4214046457	4	0	49.790
48	120.6389032349	31.4214054777	4	0	49.855
49	120.6389045	31.4214063	4	0	49.899
50	120.6389055024	31.4214069616	4	0	49.927
51	120.6389065	31.4214076	4	0	49.942
52	120.6389075036	31.4214083104	4	0	49.952
53	120.6389085	31.421409	4	0	49.952
54	120.6389094997	31.4214096593	4	0	49.934
55	120.6389105	31.4214103	4	0	49.897
56	120.6389118298	31.4214111774	4	0	49.847
57	120.6389131627	31.4214120436	4	0	49.778
58	120.6389145	31.4214129	4	0	49.695
59	120.6389154506	31.4214135584	4	0	49.594
60	120.6389164	31.4214142	4	0	49.480
61	120.6389172537	31.4214148092	4	0	49.354
62	120.6389181	31.4214154	4	0	49.221
63	120.6389190516	31.4214160601	4	0	49.081
64	120.63892	31.4214167	4	0	48.927
65	120.6389212678	31.421417577	4	0	48.758
66	120.6389225342	31.421418445	4	0	48.572
